date,industry,unemployed
1985-01-01,Portugal,10
1985-01-01,Senegal,18
1985-01-01,SouthKorea,29
1985-01-01,Spain,10
1985-01-01,Switzerland,8
1985-01-01,UnitedStates,6
1986-01-01,Argentina,14
1986-01-01,Australia,5
1986-01-01,Brazil,21
1986-01-01,Croatia,0
1986-01-01,England,23
1986-01-01,France,14
1986-01-01,Japan,5
1986-01-01,Morocco,8
1986-01-01,Netherlands,5
1986-01-01,Poland,8
1986-01-01,Portugal,8
1986-01-01,Senegal,12
1986-01-01,SouthKorea,19
1986-01-01,Spain,27
1986-01-01,Switzerland,8
1986-01-01,UnitedStates,1
1987-01-01,Argentina,7
1987-01-01,Australia,3
1987-01-01,Brazil,22
1987-01-01,Croatia,0
1987-01-01,England,16
1987-01-01,France,5
1987-01-01,Japan,2
1987-01-01,Morocco,1
1987-01-01,Netherlands,21
1987-01-01,Poland,19
1987-01-01,Portugal,6
1987-01-01,Senegal,9
1987-01-01,SouthKorea,8
1987-01-01,Spain,16
1987-01-01,Switzerland,11
1987-01-01,UnitedStates,2
1988-01-01,Argentina,8
1988-01-01,Australia,16
1988-01-01,Brazil,12
1988-01-01,Croatia,0
1988-01-01,England,9
1988-01-01,France,9
1988-01-01,Japan,8
1988-01-01,Morocco,15
1988-01-01,Netherlands,14
1988-01-01,Poland,16
1988-01-01,Portugal,1
1988-01-01,Senegal,13
1988-01-01,SouthKorea,22
1988-01-01,Spain,13
1988-01-01,Switzerland,11
1988-01-01,UnitedStates,9
1989-01-01,Argentina,5
1989-01-01,Australia,6
1989-01-01,Brazil,39
1989-01-01,Croatia,0
1989-01-01,England,15
1989-01-01,France,10
1989-01-01,Japan,13
1989-01-01,Morocco,7
1989-01-01,Netherlands,13
1989-01-01,Poland,14
1989-01-01,Portugal,17
1989-01-01,Senegal,14
1989-01-01,SouthKorea,35
1989-01-01,Spain,17
1989-01-01,Switzerland,8
1989-01-01,UnitedStates,12
1990-01-01,Argentina,9
1990-01-01,Australia,3
1990-01-01,Brazil,9
1990-01-01,Croatia,4
1990-01-01,England,16
1990-01-01,France,12
1990-01-01,Japan,0
1990-01-01,Morocco,8
1990-01-01,Netherlands,14
1990-01-01,Poland,20
1990-01-01,Portugal,3
1990-01-01,Senegal,5
1990-01-01,SouthKorea,14
1990-01-01,Spain,21
1990-01-01,Switzerland,15
1990-01-01,UnitedStates,28
1991-01-01,Argentina,26
1991-01-01,Australia,3
1991-01-01,Brazil,20
1991-01-01,Croatia,1
1991-01-01,England,19
1991-01-01,France,18
1991-01-01,Japan,1
1991-01-01,Morocco,11
1991-01-01,Netherlands,8
1991-01-01,Poland,15
1991-01-01,Portugal,13
1991-01-01,Senegal,14
1991-01-01,SouthKorea,7
1991-01-01,Spain,7
1991-01-01,Switzerland,25
1991-01-01,UnitedStates,22
1992-01-01,Argentina,12
1992-01-01,Australia,18
1992-01-01,Brazil,23
1992-01-01,Croatia,4
1992-01-01,England,14
1992-01-01,France,11
1992-01-01,Japan,14
1992-01-01,Morocco,12
1992-01-01,Netherlands,22
1992-01-01,Poland,12
1992-01-01,Portugal,5
1992-01-01,Senegal,15
1992-01-01,SouthKorea,12
1992-01-01,Spain,12
1992-01-01,Switzerland,17
1992-01-01,UnitedStates,21
1993-01-01,Argentina,19
1993-01-01,Australia,11
1993-01-01,Brazil,40
1993-01-01,Croatia,3
1993-01-01,England,23
1993-01-01,France,16
1993-01-01,Japan,39
1993-01-01,Morocco,20
1993-01-01,Netherlands,23
1993-01-01,Poland,12
1993-01-01,Portugal,19
1993-01-01,Senegal,22
1993-01-01,SouthKorea,44
1993-01-01,Spain,22
1993-01-01,Switzerland,12
1993-01-01,UnitedStates,41
1994-01-01,Argentina,21
1994-01-01,Australia,3
1994-01-01,Brazil,31
1994-01-01,Croatia,15
1994-01-01,England,10
1994-01-01,France,11
1994-01-01,Japan,7
1994-01-01,Morocco,13
1994-01-01,Netherlands,34
1994-01-01,Poland,15
1994-01-01,Portugal,16
1994-01-01,Senegal,13
1994-01-01,SouthKorea,19
1994-01-01,Spain,30
1994-01-01,Switzerland,26
1994-01-01,UnitedStates,31
1995-01-01,Argentina,30
1995-01-01,Australia,8
1995-01-01,Brazil,37
1995-01-01,Croatia,16
1995-01-01,England,10
1995-01-01,France,21
1995-01-01,Japan,27
1995-01-01,Morocco,7
1995-01-01,Netherlands,15
1995-01-01,Poland,11
1995-01-01,Portugal,18
1995-01-01,Senegal,15
1995-01-01,SouthKorea,11
1995-01-01,Spain,18
1995-01-01,Switzerland,11
1995-01-01,UnitedStates,20
1996-01-01,Argentina,12
1996-01-01,Australia,10
1996-01-01,Brazil,31
1996-01-01,Croatia,26
1996-01-01,England,22
1996-01-01,France,21
1996-01-01,Japan,28
1996-01-01,Morocco,30
1996-01-01,Netherlands,23
1996-01-01,Poland,8
1996-01-01,Portugal,13
1996-01-01,Senegal,7
1996-01-01,SouthKorea,44
1996-01-01,Spain,20
1996-01-01,Switzerland,8
1996-01-01,UnitedStates,28
1997-01-01,Argentina,17
1997-01-01,Australia,39
1997-01-01,Brazil,71
1997-01-01,Croatia,19
1997-01-01,England,17
1997-01-01,France,12
1997-01-01,Japan,59
1997-01-01,Morocco,22
1997-01-01,Netherlands,16
1997-01-01,Poland,21
1997-01-01,Portugal,7
1997-01-01,Senegal,12
1997-01-01,SouthKorea,48
1997-01-01,Spain,12
1997-01-01,Switzerland,10
1997-01-01,UnitedStates,21
1998-01-01,Argentina,27
1998-01-01,Australia,20
1998-01-01,Brazil,36
1998-01-01,Croatia,31
1998-01-01,England,18
1998-01-01,France,31
1998-01-01,Japan,15
1998-01-01,Morocco,25
1998-01-01,Netherlands,31
1998-01-01,Poland,19
1998-01-01,Portugal,10
1998-01-01,Senegal,7
1998-01-01,SouthKorea,22
1998-01-01,Spain,23
1998-01-01,Switzerland,4
1998-01-01,UnitedStates,15
1999-01-01,Argentina,20
1999-01-01,Australia,0
1999-01-01,Brazil,55
1999-01-01,Croatia,14
1999-01-01,England,15
1999-01-01,France,18
1999-01-01,Japan,4
1999-01-01,Morocco,9
1999-01-01,Netherlands,13
1999-01-01,Poland,12
1999-01-01,Portugal,29
1999-01-01,Senegal,23
1999-01-01,SouthKorea,4
1999-01-01,Spain,43
1999-01-01,Switzerland,15
1999-01-01,UnitedStates,19
2000-01-01,Argentina,24
2000-01-01,Australia,39
2000-01-01,Brazil,32
2000-01-01,Croatia,5
2000-01-01,England,11
2000-01-01,France,34
2000-01-01,Japan,40
2000-01-01,Morocco,10
2000-01-01,Netherlands,30
2000-01-01,Poland,9
2000-01-01,Portugal,29
2000-01-01,Senegal,15
2000-01-01,SouthKorea,42
2000-01-01,Spain,21
2000-01-01,Switzerland,17
2000-01-01,UnitedStates,34
2001-01-01,Argentina,22
2001-01-01,Australia,80
2001-01-01,Brazil,28
2001-01-01,Croatia,20
2001-01-01,England,24
2001-01-01,France,30
2001-01-01,Japan,15
2001-01-01,Morocco,16
2001-01-01,Netherlands,27
2001-01-01,Poland,21
2001-01-01,Portugal,35
2001-01-01,Senegal,24
2001-01-01,SouthKorea,22
2001-01-01,Spain,20
2001-01-01,Switzerland,13
2001-01-01,UnitedStates,14
2002-01-01,Argentina,8
2002-01-01,Australia,21
2002-01-01,Brazil,40
2002-01-01,Croatia,8
2002-01-01,England,20
2002-01-01,France,26
2002-01-01,Japan,15
2002-01-01,Morocco,23
2002-01-01,Netherlands,14
2002-01-01,Poland,16
2002-01-01,Portugal,18
2002-01-01,Senegal,22
